(concept_label-concept_in_Eng-MRS_concept aByAropaNa_1 indictment_1 _indictment_n_1)
(concept_label-concept_in_Eng-MRS_concept aByAropa+yA+xoRa+lagA_1 indict_1 _indict_v_1)
(concept_label-concept_in_Eng-MRS_concept aByAsa_1 exercise_2 _exercise_n_1)
(concept_label-concept_in_Eng-MRS_concept aByAsa_2 practice_1 _practice_n_of)
(concept_label-concept_in_Eng-MRS_concept aByAsa+kara_2 rehearse_2 _rehearse_v_1)
(concept_label-concept_in_Eng-MRS_concept aByAsa+kara_3 train_8 _train_v_1)
(concept_label-concept_in_Eng-MRS_concept aByaswa+ho_1 accustom_1 _accustom_v_to)
(concept_label-concept_in_Eng-MRS_concept acala_1 firm_2 _firm_a_1)
(concept_label-concept_in_Eng-MRS_concept acala_2 immovable_1 _immovable_a_1)
(concept_label-concept_in_Eng-MRS_concept acala_3 still_1 _still_a_1)
(concept_label-concept_in_Eng-MRS_concept acala+kara_1 immobilize_1 _immobilize_v_1)
(concept_label-concept_in_Eng-MRS_concept acaMBiwa+kara_1 flabbergast_1 _flabbergast_v_1)
(concept_label-concept_in_Eng-MRS_concept acAnaka+bahuwa+baDa_1 rocket_2 _rocket_v_1)
(concept_label-concept_in_Eng-MRS_concept acAnaka+bAriSa+honA_1 cloudburst_1 _cloudburst_n_1)
(concept_label-concept_in_Eng-MRS_concept acAnaka+gira_1 collapse_4 _collapse_v_cause)
(concept_label-concept_in_Eng-MRS_concept acAnaka+gira_2 tumble_1 _tumble_v_1)
(concept_label-concept_in_Eng-MRS_concept acAnaka+mAra_1 strike_3 _strike_v_1)
(concept_label-concept_in_Eng-MRS_concept acAnaka+roka_1 check_1 _check_v_1)
(concept_label-concept_in_Eng-MRS_concept acAra_1 pickle_1 _pickle_n_1)
(concept_label-concept_in_Eng-MRS_concept acAra+banA_1 pickle_2 _pickle_v_1)
(concept_label-concept_in_Eng-MRS_concept acaraja_1 wonder_2 _wonder_n_1)
(concept_label-concept_in_Eng-MRS_concept AcaraNa_1 conduct_1 _conduct_n_1)
(concept_label-concept_in_Eng-MRS_concept AcaraNa_3 manner_2 _manner_n_of)
(concept_label-concept_in_Eng-MRS_concept acCA_3 good_1 _good_a_at-for-of)
(concept_label-concept_in_Eng-MRS_concept acCA_4 neat_4 _neat_a_1)
(concept_label-concept_in_Eng-MRS_concept acCA_5 nice_1 _nice_a_of-for)
(concept_label-concept_in_Eng-MRS_concept acCA+vyavahAra_1 square_9 _square_a_1)
(concept_label-concept_in_Eng-MRS_concept AcCAxiwa_1 wreathe_1 _wreathe_v_1)
(concept_label-concept_in_Eng-MRS_concept AcCAxiwa+kara_1 cover_7 _cover_v_1)
(concept_label-concept_in_Eng-MRS_concept acCe+DZaMga+se_1 sweetly_1 _sweet_a_to)
(concept_label-concept_in_Eng-MRS_concept acCe+se_2 nicely_1 _nice_a_of-for)
(concept_label-concept_in_Eng-MRS_concept acCe+se+DUzDa_1 comb_5 _comb_v_2)
(concept_label-concept_in_Eng-MRS_concept acCI+jAwi+kA+GodZA_1 steed_1 _steed_n_1)
(concept_label-concept_in_Eng-MRS_concept acCI+waraha_1 soundly_1 _sound_a_1)
(concept_label-concept_in_Eng-MRS_concept acCI+waraha+kAtA+huA+goSwa_1 forcemeat_1 _forcemeat_n_1)
(concept_label-concept_in_Eng-MRS_concept acewa+kara_1 stun_1 _stun_v_1)
(concept_label-concept_in_Eng-MRS_concept acewana_1 inanimate_1 _inanimate_a_1)
(concept_label-concept_in_Eng-MRS_concept acikiwsya_1 incurable_1 _incurable_a_1)
(concept_label-concept_in_Eng-MRS_concept acinwya_1 inconceivable_1 _inconceivable_a_to)
(concept_label-concept_in_Eng-MRS_concept adajA_1 persist_2 _persist_v_1)
(concept_label-concept_in_Eng-MRS_concept AdambarI_3 ostentatious_1 _ostentatious_a_1)
(concept_label-concept_in_Eng-MRS_concept addA_1 den_3 _den_n_1)
(concept_label-concept_in_Eng-MRS_concept addA_2 perch_1 _perch_n_1)
(concept_label-concept_in_Eng-MRS_concept addA_3 roost_1 _roost_n_1)
(concept_label-concept_in_Eng-MRS_concept addA_4 stop_5 _stop_n_1)
(concept_label-concept_in_Eng-MRS_concept adde+para+bETa_1 roost_2 _roost_v_1)
(concept_label-concept_in_Eng-MRS_concept AdI+xIvAra_1 traverse_3 _traverse_n_1)
(concept_label-concept_in_Eng-MRS_concept AdZa_2 screen_2 _screen_n_1)
(concept_label-concept_in_Eng-MRS_concept AdZA_3 cross_1 _cross_a_with-at)
(concept_label-concept_in_Eng-MRS_concept AdZa+xe_1 screen_4 _screen_v_1)
(concept_label-concept_in_Eng-MRS_concept AdZe+wiraCe_1 crosswise_1 _crosswise_a_1)
(concept_label-concept_in_Eng-MRS_concept AdZe+wiraCe+jA_1 traverse_1 _traverse_v_1)
(concept_label-concept_in_Eng-MRS_concept adZosa+padZosa_1 vicinity_1 _vicinity_n_of)
(concept_label-concept_in_Eng-MRS_concept AdZU_1 peach_2 _peach_n_1)
(concept_label-concept_in_Eng-MRS_concept Aga_1 fire_1 _fire_n_1)
(concept_label-concept_in_Eng-MRS_concept Aga+buJA_2 stifle_3 _stifle_v_1)
(concept_label-concept_in_Eng-MRS_concept agalA_1 following_1 _following_a_1)
(concept_label-concept_in_Eng-MRS_concept agalA_2 forward_1 _forward_a_1)
(concept_label-concept_in_Eng-MRS_concept agalA_3 next_1 _next_a_1)
(concept_label-concept_in_Eng-MRS_concept Agamana_1 advent_1 _advent_n_1)
(concept_label-concept_in_Eng-MRS_concept Agamana_2 arrival_1 _arrival_n_1)
(concept_label-concept_in_Eng-MRS_concept Agamana_4 induction_2 _induction_n_of)
(concept_label-concept_in_Eng-MRS_concept AgAmI_1 forthcoming_1 _forthcoming_a_1)
(concept_label-concept_in_Eng-MRS_concept Agamika_1 incoming_1 _incoming_a_1)
(concept_label-concept_in_Eng-MRS_concept agamya_2 inaccessible_1 _inaccessible_a_1)
(concept_label-concept_in_Eng-MRS_concept Aganwuka_1 arrival_2 _arrival_n_1)
(concept_label-concept_in_Eng-MRS_concept AgA+pICA+kara_1 teeter_1 _teeter_v_1)
(concept_label-concept_in_Eng-MRS_concept Agawa_1 input_1 _input_n_to)
(concept_label-concept_in_Eng-MRS_concept AGAwa_2 chop_1 _chop_n_1)
(concept_label-concept_in_Eng-MRS_concept AGAwa_4 knock_2 _knock_n_1)
(concept_label-concept_in_Eng-MRS_concept Age_2 fore_2 _fore_n_1)
(concept_label-concept_in_Eng-MRS_concept Age_3 forth_1 _forth_p_dir)
(concept_label-concept_in_Eng-MRS_concept Age_4 front_1 _front_n_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDA_1 postpone_1 _postpone_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDa_2 progress_2 _progress_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDa_3 pull_4 _pull_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDa_4 pursue_2 _pursue_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDZA_1 further_5 _further_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDZA_2 reach_2 _reach_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+baDZa+jA_1 overtake_2 _overtake_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+ho_1 lead_4 _lead_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+jA_1 fare_3 _fare_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+kA_1 fore_1 _fore_n_1)
(concept_label-concept_in_Eng-MRS_concept Age+kI+ora_1 forward_2 _forward_p_dir)
(concept_label-concept_in_Eng-MRS_concept Age+kUxa_1 lunge_1 _lunge_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+nikala+jA_2 overtake_1 _overtake_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+nikala+jZA_1 surpass_1 _surpass_v_1)
(concept_label-concept_in_Eng-MRS_concept A+Gera_1 overtake_3 _overtake_v_1)
(concept_label-concept_in_Eng-MRS_concept Age+xiyA+huA_1 following_2 _following_a_1)
(concept_label-concept_in_Eng-MRS_concept agni+kA+prakASa_1 firelight_1 _firelight_n_1)
(concept_label-concept_in_Eng-MRS_concept agnimaya_1 fiery_1 _fiery_a_1)
(concept_label-concept_in_Eng-MRS_concept agni+parIkRA_1 ordeal_1 _ordeal_n_1)
(concept_label-concept_in_Eng-MRS_concept agni+sambanXI_1 igneous_1 _igneous_a_1)
(concept_label-concept_in_Eng-MRS_concept aGoRiwa_2 undeclared_1 _undeclared_a_1)
(concept_label-concept_in_Eng-MRS_concept agraBAga_1 nose_2 _nose_n_1)
(concept_label-concept_in_Eng-MRS_concept agragAmI_1 advance_8 _advance_n_of)
(concept_label-concept_in_Eng-MRS_concept agragAmI_2 pioneer_1 _pioneer_n_1)
(concept_label-concept_in_Eng-MRS_concept agrasara+kiyA_1 relay_6 _relay_v_1)
(concept_label-concept_in_Eng-MRS_concept agraxUwa_1 forerunner_1 _forerunner_n_1)
(concept_label-concept_in_Eng-MRS_concept agrimarASi_1 advance_4 _advance_n_of)
(concept_label-concept_in_Eng-MRS_concept aguvAI+kara_1 guide_2 _guide_v_to)
(concept_label-concept_in_Eng-MRS_concept Aha_1 groan_1 _groan_n_1)
(concept_label-concept_in_Eng-MRS_concept ahaMkAra_1 arrogance_1 _arrogance_n_1)
(concept_label-concept_in_Eng-MRS_concept ahaMkArI_1 arrogant_1 _arrogant_a_1)
(concept_label-concept_in_Eng-MRS_concept ahaMkArI_2 cocky_1 _cocky_a_1)
(concept_label-concept_in_Eng-MRS_concept ahaMkArI_4 lofty_2 _lofty_a_1)
(concept_label-concept_in_Eng-MRS_concept AhAra_1 food_1 _food_n_1)
(concept_label-concept_in_Eng-MRS_concept aharana_1 anvil_1 _anvil_n_1)
(concept_label-concept_in_Eng-MRS_concept ahAwA_1 corral_1 _corral_n_1)
(concept_label-concept_in_Eng-MRS_concept ahAwA_2 precinct_1 _precinct_n_1)
(concept_label-concept_in_Eng-MRS_concept ahAwA_3 premises_1 _premises_n_1)
(concept_label-concept_in_Eng-MRS_concept ahiwakara_2 malignant_1 _malignant_a_1)
